domain,system,metric,n,mean,std
dictionary,gemini,bleu,20,6.825351197732908e-06,3.048887709034375e-05
dictionary,google_translate,bleu,20,2.2054357608194843e-05,9.856048225457241e-05
dictionary,microsoft_translate,bleu,20,5.992454988845986e-05,0.00026792112417011187
dictionary,chatgpt,bleurt,20,0.08417261764407154,0.07703990335617475
dictionary,gemini,bleurt,20,0.10284348838031288,0.0803409288679995
dictionary,google_translate,bleurt,20,0.09847532510757442,0.08535057511787904
dictionary,microsoft_translate,bleurt,20,0.1013253159821033,0.07679068793209066
dictionary,chatgpt,chrf,20,0.027262956590544195,0.018393460251188584
dictionary,gemini,chrf,20,0.0326138780692656,0.03390087353101937
dictionary,google_translate,chrf,20,0.034022470884581234,0.036488014354238006
dictionary,microsoft_translate,chrf,20,0.03460872978237077,0.03191949376810834
dictionary,chatgpt,comet,20,0.33609637022018435,0.059318005308738535
dictionary,gemini,comet,20,0.3439579293131828,0.09296264817794175
dictionary,google_translate,comet,20,0.3399659737944603,0.07010657821525772
dictionary,microsoft_translate,comet,20,0.3207647785544395,0.07105444779114028
dictionary,chatgpt,edit_dist,20,128.95,105.81089139045237
dictionary,gemini,edit_dist,20,129.4,105.85610889067142
dictionary,google_translate,edit_dist,20,129.55,105.72231502732448
dictionary,microsoft_translate,edit_dist,20,129.5,106.07767759623383
dictionary,chatgpt,exact_match,20,0.0,0.0
dictionary,gemini,exact_match,20,0.0,0.0
dictionary,google_translate,exact_match,20,0.0,0.0
dictionary,microsoft_translate,exact_match,20,0.0,0.0
dictionary,chatgpt,len_ratio,20,0.12807589150153803,0.19572843069527368
dictionary,gemini,len_ratio,20,0.10441884021948673,0.11733859664007285
dictionary,google_translate,len_ratio,20,0.10643669736234389,0.1251934906058116
dictionary,microsoft_translate,len_ratio,20,0.09480666073230724,0.10706559730415591
dictionary,chatgpt,llm_adequacy,20,1.0,0.0
dictionary,gemini,llm_adequacy,20,1.2,0.41039134083406165
dictionary,google_translate,llm_adequacy,20,1.25,0.7163503994113789
dictionary,microsoft_translate,llm_adequacy,20,1.15,0.36634754853252327
dictionary,chatgpt,llm_error_tags,0,,
dictionary,gemini,llm_error_tags,0,,
dictionary,google_translate,llm_error_tags,0,,
dictionary,microsoft_translate,llm_error_tags,0,,
dictionary,chatgpt,llm_fluency,20,1.4,0.5982430416161189
dictionary,gemini,llm_fluency,20,1.7,0.7326950970650464
dictionary,google_translate,llm_fluency,20,1.5,1.0513149660756937
dictionary,microsoft_translate,llm_fluency,20,1.8,1.105012502906165
dictionary,chatgpt,llm_overall,20,1.0,0.0
dictionary,gemini,llm_overall,20,1.2,0.41039134083406165
dictionary,google_translate,llm_overall,20,1.25,0.7163503994113789
dictionary,microsoft_translate,llm_overall,20,1.2,0.4103913408340617
dictionary,chatgpt,llm_rationale,0,,
dictionary,gemini,llm_rationale,0,,
dictionary,google_translate,llm_rationale,0,,
dictionary,microsoft_translate,llm_rationale,0,,
dictionary,chatgpt,llm_terminology,20,1.1,0.3077935056255462
dictionary,gemini,llm_terminology,20,1.45,0.7591546545162482
dictionary,google_translate,llm_terminology,20,1.35,0.8750939799154206
dictionary,microsoft_translate,llm_terminology,20,1.45,0.7591546545162482
dictionary,chatgpt,meteor,20,0.00115207373271889,0.005152230362902723
dictionary,gemini,meteor,20,0.009640683640443225,0.029690316611828527
dictionary,google_translate,meteor,20,0.00873479432095418,0.02027674288685477
dictionary,microsoft_translate,meteor,20,0.014580192603190911,0.024022570957921166
dictionary,chatgpt,rouge1_f1,20,0.003999999999999995,0.017888543819998298
dictionary,gemini,rouge1_f1,20,0.041567460317460315,0.1152763039173486
dictionary,google_translate,rouge1_f1,20,0.02899999999999999,0.06622529330764954
dictionary,microsoft_translate,rouge1_f1,20,0.030785714285714284,0.07266630616425653
dictionary,chatgpt,rouge1_p,20,0.05,0.22360679774997896
dictionary,gemini,rouge1_p,20,0.175,0.3725799101852973
dictionary,google_translate,rouge1_p,20,0.2,0.41039134083406165
dictionary,microsoft_translate,rouge1_p,20,0.2,0.41039134083406165
dictionary,chatgpt,rouge1_r,20,0.0020833333333333303,0.00931694990624911
dictionary,gemini,rouge1_r,20,0.025625,0.0756825061673177
dictionary,google_translate,rouge1_r,20,0.015892857142857132,0.036979016170654334
dictionary,microsoft_translate,rouge1_r,20,0.01708333333333332,0.041400465432307576
dictionary,chatgpt,rouge2_f1,20,0.0,0.0
dictionary,gemini,rouge2_f1,20,0.0,0.0
dictionary,google_translate,rouge2_f1,20,0.0,0.0
dictionary,microsoft_translate,rouge2_f1,20,0.0,0.0
dictionary,chatgpt,rouge2_p,20,0.0,0.0
dictionary,gemini,rouge2_p,20,0.0,0.0
dictionary,google_translate,rouge2_p,20,0.0,0.0
dictionary,microsoft_translate,rouge2_p,20,0.0,0.0
dictionary,chatgpt,rouge2_r,20,0.0,0.0
dictionary,gemini,rouge2_r,20,0.0,0.0
dictionary,google_translate,rouge2_r,20,0.0,0.0
dictionary,microsoft_translate,rouge2_r,20,0.0,0.0
dictionary,chatgpt,rougeL_f1,20,0.003999999999999995,0.017888543819998298
dictionary,gemini,rougeL_f1,20,0.041567460317460315,0.1152763039173486
dictionary,google_translate,rougeL_f1,20,0.02899999999999999,0.06622529330764954
dictionary,microsoft_translate,rougeL_f1,20,0.030785714285714284,0.07266630616425653
dictionary,chatgpt,rougeL_p,20,0.05,0.22360679774997896
dictionary,gemini,rougeL_p,20,0.175,0.3725799101852973
dictionary,google_translate,rougeL_p,20,0.2,0.41039134083406165
dictionary,microsoft_translate,rougeL_p,20,0.2,0.41039134083406165
dictionary,chatgpt,rougeL_r,20,0.0020833333333333303,0.00931694990624911
dictionary,gemini,rougeL_r,20,0.025625,0.0756825061673177
dictionary,google_translate,rougeL_r,20,0.015892857142857132,0.036979016170654334
dictionary,microsoft_translate,rougeL_r,20,0.01708333333333332,0.041400465432307576
dictionary,chatgpt,ter,20,0.9979166666666666,0.009316949906249065
dictionary,gemini,ter,20,0.9945588235294117,0.01680864374248702
dictionary,google_translate,ter,20,0.9945833333333333,0.01715831852883151
dictionary,microsoft_translate,ter,20,0.9862500000000001,0.039853074459314276
idiom,chatgpt,bertscore_f1,20,-0.15129162498051302,0.23608702706729426
idiom,gemini,bertscore_f1,20,-0.14978123070904986,0.21279159337475578
idiom,google_translate,bertscore_f1,20,-0.23370824947196525,0.24683758696978195
idiom,microsoft_translate,bertscore_f1,20,-0.11317622838541866,0.1787722700526668
idiom,chatgpt,bleu,20,0.0014519481959014563,0.003179331912335636
idiom,gemini,bleu,20,0.0026726821995868765,0.00840835074972374
idiom,google_translate,bleu,20,0.0008501671173579084,0.001795205650868519
idiom,microsoft_translate,bleu,20,0.0011646563958470086,0.003035353752592696
idiom,chatgpt,bleurt,20,0.17275055423378943,0.07757117985656123
idiom,gemini,bleurt,20,0.21400505043566223,0.07680236997376394
idiom,google_translate,bleurt,20,0.1868371974676847,0.09418990487675044
idiom,microsoft_translate,bleurt,20,0.19235727116465567,0.08490889627964963
idiom,chatgpt,chrf,20,0.038465958261329716,0.02440825929603146
idiom,gemini,chrf,20,0.049706672482860134,0.040224878935957414
idiom,google_translate,chrf,20,0.04829970426943421,0.04442774262324327
idiom,microsoft_translate,chrf,20,0.05411753441572744,0.04533880998562073
idiom,chatgpt,comet,20,0.3498828947544098,0.0651693606920851
idiom,gemini,comet,20,0.349831224232912,0.07042583319579988
idiom,google_translate,comet,20,0.35119707733392713,0.048763410109354914
idiom,microsoft_translate,comet,20,0.3668293714523315,0.06590178528586077
idiom,chatgpt,edit_dist,20,245.7,375.27535154028465
idiom,gemini,edit_dist,20,245.0,374.25912779362125
idiom,google_translate,edit_dist,20,245.2,375.33782677812576
