domain,direction,system,metric,n,mean,std
conversational,fj->en,chatgpt,chrf,37,0.2563441333170349,0.17164372479832107
conversational,fj->en,gemini,chrf,37,0.5351136732575629,0.2821032928673003
conversational,fj->en,google_translate,chrf,37,0.47883032414957183,0.2370764803467988
conversational,fj->en,microsoft_translate,chrf,37,0.4408161726776518,0.24737043894280034
conversational,fj->en,chatgpt,comet,37,0.565251093458485,0.1508281994560914
conversational,fj->en,gemini,comet,37,0.7642024248032957,0.14314692581180358
conversational,fj->en,google_translate,comet,37,0.7615346618600793,0.16802192436251923
conversational,fj->en,microsoft_translate,comet,37,0.7249536192094957,0.16437298877084341
conversational,fj->en,chatgpt,edit_dist,37,21.35135135135135,10.99296799528432
conversational,fj->en,gemini,edit_dist,37,14.378378378378379,13.45641390100182
conversational,fj->en,google_translate,edit_dist,37,13.216216216216216,11.33856530003082
conversational,fj->en,microsoft_translate,edit_dist,37,13.837837837837839,11.572269328762506
conversational,fj->en,chatgpt,exact_match,37,0.0,0.0
conversational,fj->en,gemini,exact_match,37,0.10810810810810811,0.3148000938676784
conversational,fj->en,google_translate,exact_match,37,0.05405405405405406,0.22924343513512566
conversational,fj->en,microsoft_translate,exact_match,37,0.05405405405405406,0.22924343513512566
conversational,fj->en,chatgpt,len_ratio,37,1.134136734136734,0.29521923473854034
conversational,fj->en,gemini,len_ratio,37,1.1267355017355019,0.32625267482658354
conversational,fj->en,google_translate,len_ratio,37,1.0344887094887094,0.23594030479729028
conversational,fj->en,microsoft_translate,len_ratio,37,0.9409334659334658,0.23278154474548066
conversational,fj->en,chatgpt,llm_adequacy,37,1.3783783783783783,0.681149002762218
conversational,fj->en,gemini,llm_adequacy,37,3.27027027027027,1.3467790515945122
conversational,fj->en,google_translate,llm_adequacy,37,2.810810810810811,1.3088977092245264
conversational,fj->en,microsoft_translate,llm_adequacy,37,2.6486486486486487,1.4184540923174118
conversational,fj->en,chatgpt,llm_error_tags,0,,
conversational,fj->en,gemini,llm_error_tags,0,,
conversational,fj->en,google_translate,llm_error_tags,0,,
conversational,fj->en,microsoft_translate,llm_error_tags,0,,
conversational,fj->en,chatgpt,llm_fluency,37,2.5675675675675675,0.9871547368444701
conversational,fj->en,gemini,llm_fluency,37,4.162162162162162,0.9578190943061312
conversational,fj->en,google_translate,llm_fluency,37,3.810810810810811,0.9671791123858265
conversational,fj->en,microsoft_translate,llm_fluency,37,3.5675675675675675,1.1676315186579043
conversational,fj->en,chatgpt,llm_overall,37,1.4324324324324325,0.6888210758059559
conversational,fj->en,gemini,llm_overall,37,3.27027027027027,1.3467790515945122
conversational,fj->en,google_translate,llm_overall,37,2.864864864864865,1.2944789205219511
conversational,fj->en,microsoft_translate,llm_overall,37,2.7027027027027026,1.4115567620512088
conversational,fj->en,chatgpt,llm_rationale,0,,
conversational,fj->en,gemini,llm_rationale,0,,
conversational,fj->en,google_translate,llm_rationale,0,,
conversational,fj->en,microsoft_translate,llm_rationale,0,,
conversational,fj->en,chatgpt,llm_terminology,37,2.027027027027027,1.1422805280686548
conversational,fj->en,gemini,llm_terminology,37,3.864864864864865,1.1823273226555742
conversational,fj->en,google_translate,llm_terminology,37,3.4054054054054053,1.2574104664273638
conversational,fj->en,microsoft_translate,llm_terminology,37,3.1621621621621623,1.3847084232492477
conversational,fj->en,chatgpt,meteor,37,0.2227924770182335,0.2371823695862772
conversational,fj->en,gemini,meteor,37,0.5444052024291217,0.314182128404559
conversational,fj->en,google_translate,meteor,37,0.4724487109198949,0.2662974671219116
conversational,fj->en,microsoft_translate,meteor,37,0.4241474639275678,0.3004961241741724
conversational,fj->en,chatgpt,rouge1_f1,37,0.2885127727199338,0.21781810006831478
conversational,fj->en,gemini,rouge1_f1,37,0.590724214250957,0.2810438701026439
conversational,fj->en,google_translate,rouge1_f1,37,0.5524752421037251,0.2570428425039227
conversational,fj->en,microsoft_translate,rouge1_f1,37,0.5132601382601383,0.23978674942139516
conversational,fj->en,chatgpt,rouge1_p,37,0.2807300807300807,0.21128543768639785
conversational,fj->en,gemini,rouge1_p,37,0.5825583310877429,0.28780056278973176
conversational,fj->en,google_translate,rouge1_p,37,0.5528099528099528,0.2596190270905352
